NAME,B19083_001E,state,county
"Madison County, Georgia",0.425,13,195
"Marion County, Georgia",0.4381,13,197
"Meriwether County, Georgia",0.4448,13,199
"Miller County, Georgia",0.488,13,201
"Mitchell County, Georgia",0.4667,13,205
"Monroe County, Georgia",0.4765,13,207
"Montgomery County, Georgia",0.4652,13,209
"Morgan County, Georgia",0.4163,13,211
"Murray County, Georgia",0.4337,13,213
"Muscogee County, Georgia",0.4947,13,215
"Newton County, Georgia",0.4068,13,217
"Oconee County, Georgia",0.4624,13,219
"Oglethorpe County, Georgia",0.4308,13,221
"Paulding County, Georgia",0.3537,13,223
"Peach County, Georgia",0.4801,13,225
"Pickens County, Georgia",0.4288,13,227
"Pierce County, Georgia",0.4514,13,229
"Pike County, Georgia",0.425,13,231
"Polk County, Georgia",0.458,13,233
"Pulaski County, Georgia",0.46,13,235
"Putnam County, Georgia",0.5034,13,237
"Quitman County, Georgia",0.4884,13,239
"Rabun County, Georgia",0.4925,13,241
"Randolph County, Georgia",0.5002,13,243
"Richmond County, Georgia",0.4866,13,245
"Rockdale County, Georgia",0.4224,13,247
"Schley County, Georgia",0.4868,13,249
"Screven County, Georgia",0.4885,13,251
"Seminole County, Georgia",0.4703,13,253
"Spalding County, Georgia",0.5499,13,255
"Stephens County, Georgia",0.441,13,257
"Stewart County, Georgia",0.4818,13,259
"Sumter County, Georgia",0.4631,13,261
"Talbot County, Georgia",0.4898,13,263
"Taliaferro County, Georgia",0.3891,13,265
"Tattnall County, Georgia",0.4488,13,267
"Taylor County, Georgia",0.5112,13,269
"Telfair County, Georgia",0.4929,13,271
"Terrell County, Georgia",0.4882,13,273
"Thomas County, Georgia",0.464,13,275
"Tift County, Georgia",0.4736,13,277
"Toombs County, Georgia",0.4594,13,279
"Towns County, Georgia",0.5186,13,281
"Treutlen County, Georgia",0.4683,13,283
"Troup County, Georgia",0.4998,13,285
"Turner County, Georgia",0.4648,13,287
"Twiggs County, Georgia",0.5317,13,289
"Union County, Georgia",0.4798,13,291
"Upson County, Georgia",0.4953,13,293
"Walker County, Georgia",0.4523,13,295
"Walton County, Georgia",0.4264,13,297
"Ware County, Georgia",0.4729,13,299
"Warren County, Georgia",0.443,13,301
"Washington County, Georgia",0.4644,13,303
"Wayne County, Georgia",0.4413,13,305
"Webster County, Georgia",0.4646,13,307
"Wheeler County, Georgia",0.4626,13,309
"White County, Georgia",0.4381,13,311
"Whitfield County, Georgia",0.4522,13,313
"Wilcox County, Georgia",0.4661,13,315
"Wilkes County, Georgia",0.4991,13,317
"Wilkinson County, Georgia",0.4626,13,319
"Worth County, Georgia",0.4352,13,321
"Hawaii County, Hawaii",0.4761,15,1
"Honolulu County, Hawaii",0.4412,15,3
"Kalawao County, Hawaii",0.2912,15,5
"Kauai County, Hawaii",0.4414,15,7
"Maui County, Hawaii",0.4541,15,9
"Ada County, Idaho",0.4516,16,1
"Adams County, Idaho",0.4807,16,3
"Bannock County, Idaho",0.4405,16,5
"Bear Lake County, Idaho",0.4129,16,7
"Benewah County, Idaho",0.4618,16,9
"Bingham County, Idaho",0.4241,16,11
"Blaine County, Idaho",0.4802,16,13
"Boise County, Idaho",0.3601,16,15
"Bonner County, Idaho",0.4701,16,17
"Bonneville County, Idaho",0.4279,16,19
"Boundary County, Idaho",0.4194,16,21
"Butte County, Idaho",0.4652,16,23
"Camas County, Idaho",0.429,16,25
"Canyon County, Idaho",0.3945,16,27
"Caribou County, Idaho",0.3877,16,29
"Cassia County, Idaho",0.4433,16,31
"Clark County, Idaho",0.3236,16,33
"Clearwater County, Idaho",0.4263,16,35
"Custer County, Idaho",0.3954,16,37
"Elmore County, Idaho",0.4206,16,39
"Franklin County, Idaho",0.4213,16,41
"Fremont County, Idaho",0.4173,16,43
"Gem County, Idaho",0.4339,16,45
"Gooding County, Idaho",0.4414,16,47
"Idaho County, Idaho",0.4282,16,49
"Jefferson County, Idaho",0.3746,16,51
"Jerome County, Idaho",0.4368,16,53
"Kootenai County, Idaho",0.427,16,55
"Latah County, Idaho",0.4611,16,57
"Lemhi County, Idaho",0.4945,16,59
"Lewis County, Idaho",0.4724,16,61
"Lincoln County, Idaho",0.3876,16,63
"Madison County, Idaho",0.5121,16,65
"Minidoka County, Idaho",0.4301,16,67
"Nez Perce County, Idaho",0.4529,16,69
"Oneida County, Idaho",0.4038,16,71
"Owyhee County, Idaho",0.3911,16,73
"Payette County, Idaho",0.3891,16,75
"Power County, Idaho",0.3551,16,77
"Shoshone County, Idaho",0.4079,16,79
"Teton County, Idaho",0.4147,16,81
"Twin Falls County, Idaho",0.4363,16,83
"Valley County, Idaho",0.5103,16,85
"Washington County, Idaho",0.4367,16,87
"Adams County, Illinois",0.4422,17,1
"Alexander County, Illinois",0.4765,17,3
"Bond County, Illinois",0.4313,17,5
"Boone County, Illinois",0.4229,17,7
"Brown County, Illinois",0.4097,17,9
"Bureau County, Illinois",0.4377,17,11
"Calhoun County, Illinois",0.3736,17,13
"Carroll County, Illinois",0.4249,17,15
"Cass County, Illinois",0.4127,17,17
"Champaign County, Illinois",0.5031,17,19
"Christian County, Illinois",0.4449,17,21
"Clark County, Illinois",0.3959,17,23
"Clay County, Illinois",0.4652,17,25
"Clinton County, Illinois",0.4353,17,27
"Coles County, Illinois",0.4698,17,29
"Cook County, Illinois",0.5028,17,31
"Crawford County, Illinois",0.4529,17,33
